"lon","lat","unc"
-118.469556,34.37722,4
-121.761269,37.670914,NA
-120.444556,35.192663,NA
-98.578636,29.2638,215
-97.486267,32.848247,5
-98.084629,30.219094,61
-118.342981,33.826762,168
-118.441014,33.949881,NA
-118.167332,34.120152,9
-118.515989,34.314169,NA
-98.26268,29.214918,185
-118.47006,34.377281,4
-118.706938,34.037475,6
-98.421677,29.594682,NA
-97.813826,30.220925,17
-98.495742,29.311017,5
-117.523328,34.173747,4
-118.764358,34.662433,4
-118.380608,34.017692,3
-118.257647,34.209267,NA
-117.553517,33.543273,100
-118.34243,33.827872,10
-118.498044,34.097143,4
-117.559734,33.551058,NA
-120.080024,33.909899,NA
-120.002417,33.956212,NA
-120.224465,33.999268,NA
-120.070555,33.915506,NA
-120.080782,33.980759,NA
-119.989748,33.973456,NA
-121.027328,38.775131,5
-118.560355,33.007214,8
-102.326356,31.888242,58
-117.288914,33.977256,58
-118.393881,34.024428,NA
-117.170998,34.08655,35
-118.555122,32.99763,11
-118.347608,33.737967,10
-111.303445,32.471322,4
-118.989417,34.066679,5
-115.269676,36.322299,NA
-118.703072,34.032456,3
-118.988661,34.066609,916
-98.139687,31.510031,4
-117.941078,33.890828,7
-118.953025,34.145375,4
-118.53595,34.426105,39
-118.52838,34.39865,45
-118.556855,34.450597,3
-117.244933,32.672397,45
-117.244653,32.669003,NA
-121.282405,36.841922,24
-117.593406,33.390509,3
-122.278595,37.468395,3
-117.561152,33.544309,15
-116.949437,32.720524,5
-118.106736,33.931014,7
-118.189518,34.073286,35
-118.51223,34.311447,3
-117.822177,33.916528,8
-97.817341,30.488337,20
-117.727987,33.834021,6
-98.437798,29.313885,3
-111.819963,33.904053,NA
-117.759967,33.59792,3
-117.207517,32.818472,NA
-117.263776,33.005364,5
-98.474198,29.469274,3
-118.321763,34.48822,1
-97.660894,30.65275,98
-98.15952,29.659111,9
-117.845992,33.639043,297
-117.207467,33.09805,4
-97.897401,29.93971,4
-117.201538,33.095036,27
-117.174238,33.111531,3
-117.481371,34.234357,128
-118.51223,34.311447,3
-99.139228,30.21453,4
-117.845902,33.639171,151
-117.756355,33.575512,4
-119.723556,33.978327,2
-118.215892,34.197489,9
-116.942505,32.73226,194
-116.939608,32.731285,194
-117.054097,32.861867,9
-118.483185,34.176782,3
-117.659642,33.685674,5
-97.758208,30.417081,22
-117.846803,33.634842,3
-117.631583,33.432895,3
-117.03564,32.699467,3
-118.024691,33.684931,4
-97.780487,30.150864,4
-117.815262,33.6375,4
-119.529181,34.399103,136
-98.470567,31.100228,5
-117.942672,33.898738,43
-97.305126,31.612432,61
-117.273422,33.00605,5
-122.582237,37.97427,6
-121.548653,36.389947,NA
-118.100006,34.183302,32
-117.023671,32.642954,7
-117.102422,32.543834,647
-123.530803,42.551801,NA
